name,type,lat,lng
Swachh Public Toilet,toilet,22.5649771,88.3668618
Toilet,toilet,22.5670581,88.3691525
Public toilet,toilet,22.5724554,88.358936
PAY & USE TOILET,toilet,22.5976109,88.3722028
PAY & USE TOILET,toilet,22.578152,88.3504771
Public Toilet,toilet,22.601257,88.3725769
Shyam Sanitary Emporium - Sanitary Showroom in Kolkata,toilet,22.5693452,88.3604978
Pay and Use Toilet,toilet,22.5859241,88.3624295
Pay And Use Toilets - Shyambazar,toilet,22.5996441,88.3660882
Bath Sanitation,toilet,22.5681745,88.35965
Toilet in Coffee House,toilet,22.5761893,88.3639973
Toilet Pay And Use,toilet,22.5661525,88.3704376
PAY And Use Kmc Toilet,toilet,22.5524199,88.2613004
SBM TOILET,toilet,22.5525597,88.2613114
SBM TOILET,toilet,22.5370914,88.2558829
Pay & Use Toilet,toilet,22.5366416,88.2548834
Pay And Use Toilet Complex,toilet,22.5710869,88.2649118
Pay & Use Toilet,toilet,22.5240566,88.2716827
Toilet,toilet,22.5206135,88.2579002
Best plumber in kolkata,toilet,22.5549255,88.2511168
Pay and use toilet,toilet,22.5656437,88.2817474
SBM TOILET,toilet,22.4998531,88.3398576
Baghajatin Station Public Toilet,toilet,22.4833996,88.3859563
Toilet - Baghajatin শৌচালয় -বাঘাযতীন,toilet,22.4847388,88.3728914
Baghajatin station road,toilet,22.4831535,88.3833052
টয়লেট,toilet,22.4815224,88.3851612
SBM TOILET,toilet,22.4765,88.3817
Sulav Souchalay,toilet,22.4765713,88.381657
Pay & Use Toilet,toilet,22.475539,88.37631
SBM TOILET,toilet,22.4837917,88.3854077
PAY and USE TOILET,toilet,22.4718189,88.3894353
Pay and Use Toilet East Rajapur C Block,toilet,22.4844702,88.3857822
Public toilet,toilet,22.4886719,88.3732476
Layalka Pukur - Pay & Use Toilet,toilet,22.485285,88.3692786
Pay & Use Toilet,toilet,22.471641,88.3778979
SBM TOILET,toilet,22.4756296,88.3763013
SBM TOILET,toilet,22.491617,88.382806
SULABH COMPLEX,toilet,22.4862955,88.3660814
Sulabh Souchalay,toilet,22.4852998,88.369218
Nirman,toilet,22.4823736,88.3757051
Baghajatin,toilet,22.4827398,88.3866517
"I Block More, Baghajatin",toilet,22.4816775,88.377691
Subhagata Guest House - Garia,toilet,22.4712904,88.3781316
Dass Associates,toilet,22.4890498,88.3727251
JAS Enterprise,toilet,22.4895562,88.3724283
Debalaya Mancha & Shradhyo Basor (Stage & Community Center),toilet,22.4843903,88.3785812
